ID,Clasificación,Oración
956,Compuesta,"También se dedicó al negocio editorial y reeditó, entre otras obras, la novela de Isaac Bashevis Singer Satan in Goray en una edición de lujo."
957,Compuesta-Compleja,"La red de microblogging ha obtenido fondos para financiarse, ha aumentado su plantilla de 130 a 350 trabajadores y, sobre todo, ha superado los 100 millones de usuarios."
958,Compuesta-Compleja,"Los programas incluyen el Programa de CiberVoluntarios que recluta, entrena y coordina voluntarios que poseen experiencia en tecnologías de la información y la comunicación para el desarrollo."
959,Simple,"El Anderlecht no lo venderá por menos de 25 millones de euros ""aproximadamente""."
960,Compleja,"Las mafias políticas son un imperio sumergido, se dan más en las dictaduras y otros regímenes totalitarios, por el absoluto control del poder, trafican corrupción, delitos de crimen organizado, lavado de dinero."
961,Compuesta-Compleja,"El jurado que falló el premio estuvo presido por el director general del Libro, Rogelio Blanco, y han formado parte de él, entre otros, José Antonio Pascual, Jordi Cornudella, María José Rivera, Anna Caballé y los dos últimos autores galardonados, Rafael Sánchez Ferlosio (2009) y Josep María Castellet."
962,Compuesta-Compleja,"Sin embargo, mientras Duran ha defendido la necesidad de un gobierno de concentración si Europa no mejora, Pujol se desmarcó este miércoles de esta hipótesis, con el argumento de que si un partido gana las elecciones con mayoría absoluta, como puede sucederle al PP el 20 de noviembre, debe asumir sus responsabilidades y no cargarlas sobre otros partidos."
963,Compleja,"Actualmente el lugar, aunque ha perdido algunos de sus encantos iniciales, es uno de los más visitados por el turismo internacional."
964,Simple,ABC Color se inauguró el 8 de agosto de 1967.
965,Compuesta-Compleja,"Martín duda en aceptar, pero cuando Vanessa se desmaya ante él y ante Paola, el cantante decide aceptar."
966,Compleja,El Getafe quiere fichar a un crack en la delantera y si aparecían no hace muchos los nombres de Morata y Dani Güiza (ver artículo) el que ahora colocan es el fichaje de Caicedo.
967,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Esta isla se localiza a 46,5 kilómetros al sur de la isla de los Leones Marinos, la cual es la más cercana a la misma, por su parte la isla Beauchene dista 59 kilómetros de la Punta Toro en el extremo sureste de la isla Soledad."
968,Compleja,La segunda película revela que ella lleva un vestido color lavanda.
969,Compleja,El señor de recepcion siempre era el mismo fuese la hora que fuese asi tenia el humor que demostraba y los camareros de profesionalidad nula.
970,Compleja,"De acuerdo al New York Times Ramírez debería estar nominado como mejor actor, ya que tiene habilidad para caracterizar personajes rudos."
971,Compleja,"En Madrid, José cree que tendrá más posibilidades de conseguir lo que se ha convertido en su obsesión, grabar un disco con varios temas que ha compuesto."
972,Compleja,La Diócesis católica romana de San Pedro (latino: Dioecesis Sancti Petri Apostoli) es una diócesis localizada en la ciudad de San Pedro en la provincia Eclesiástica de Asunción en Paraguay.
973,Compleja,"Desde que la mazmorra construida estaba en uso, Dutroux encadenaba a las niñas a una cama en una habitación de su casa."
974,Compleja,"Actualmente sólo han quedado algunos tramos de calles con altos árboles ""plátanos"" en las calles que llegan a la plaza."
975,Simple,Pertenece al Ferrocarril General Urquiza de la red ferroviaria argentina.
976,Compleja,"Fue solo una prueba, estoy tranquilo, sé que tengo mucho para ser algún día el mejor del mundo."
977,Compleja,"La gracia atribuida se refiere a la maestra Ana Lucía Meirelles Leite, de Caxambu, quien dice que se curó en 1995 de una cardiopatía congénita y sin necesidad de intervención quirúrgica."
978,Simple,"La refriega comenzó con las declaraciones de uno de los aludidos, Manuel Recio."
979,Compleja,Rama y Lakshmana destruyen a los rakshasas (criaturas del mal) cuando interrumpen su meditación.
980,Compleja,"Tras el fusilamiento de Melchor Ocampo perpetrado el 3 de junio de 1861, el gobierno de Juárez decidió invertir un gran presupuesto para perseguir a los culpables."
981,Compleja,"El plan de doña Silvia es música para los oídos de Juan Antonio, pues a decir verdad la muchacha está como quiere y si de paso es parte de las propietarias del hotel ¿qué más se le puede pedir a la vida?"
982,Compleja,"Desde la década del 60, a partir de los primeros actos de piratería aérea, la comunidad internacional ha ido sancionando normas de Derecho Internacional Público para reprimir al terrorismo."
983,Compleja,"""El día en que me enteré que volvían los feriados de carnaval, sentí una alegría que no se puede dimensionar"", dice a la AFP Mariano Gibault, de 31 años, uno de los fundadores del Centro Murga Los Bohemios de Lugano, un barrio del sur de la capital."
984,Compleja,Se lanzó un video alternativo (sin las imágenes en cuestión) que sí fue emitido en los Estados Unidos.
985,Compleja,"La creciente productividad de Harrison al final de la vida de The Beatles le permitiría recopilar suficiente material para desarrollar una carrera musical en solitario bastante exitosa y larga, que daría comienzo a partir de la última sesión junto al resto del grupo el 4 de enero de 1970, con casi 27 años."
986,Compleja,"No fue mártir y murió en el poder, al que le cobró demasiado apego, pero su talento inmenso y el empeño de su generación, de la Reforma, crearon el espacio de crítica y de tolerancia de donde viene una parte fundamental del desarrollo civilizatorio de que disponemos""."
987,Compuesta-Compleja,"Además, en los vuelos de largo recorrido, especialmente con destino Asia, compara las emisiones provocadas al volar vía Helsinki o hacerlo vía otros aeropuertos europeos, demostrando el beneficio ecológico del tránsito en la capital finlandesa."
988,Compleja,"Pero, debido a la cantidad de demandas la compañía Greenstone, vendió los derechos a ""Minerales de Occidente, S.A."" (MINOSA) propiedad de la sociedad Banco Atlántida S.A. que es la que actualmente explota el yacimiento."
989,Compleja,"Por favor, corrijan los datos, pues la propietaria de los datos que tienen publicados está muy molesta y nos amenaza con denunciarnos."
990,Compleja,"Big Huge Games (también conocido como BHG) fue una empresa desarrolladora de juegos para PC con sede en Timonium, en el estado norteamericano de Maryland."
991,Compleja,"En cada serie, los equipos jugaron tres partidos (si necesario) donde el equipo que gana dos veces avanzaba a la siguiente ronda."
992,Compuesta-Compleja,"La atención es esplendida, sonrisas al recibir y despedir."
993,Compleja,"Por esa razón, en 1949, junto con otras mujeres que venían actuando políticamente desde 1945, decidieron fundar el Partido Peronista Femenino."
994,Simple,Estudió en el Colegio Alemán de Santiago.
995,Compleja,"Una pequeña gran tienda que sorprende al paladar más exigente, no sólo por su inmensa oferta, sino por el buen trato al cliente."
996,Compuesta-Compleja,Suele presentarse en forma de mapas y es expresada habitualmente en unidades de miligal (1mGal = 10-5 m/s2).
997,Compleja,"Parte de la colección consiste en objetos seculares, incluyendo piezas de cerámica y textiles de la cultura islámica, abarcando desde España hasta África del norte y Asia central."
998,Compleja,Las soluciones minerales para el aporte de nutrientes requeridas para cultivos hidropónicos no fueron desarrolladas hasta el siglo XIX.
999,Compuesta,"Entonces, trabajemos junto y unamos esfuerzo por una causa noble."
1000,Compleja,"Sergio Canales es uno de los jugadores más prometedores que acabaría jugando en otro equipo con regularidad y no tiene sitio en el club blanco, por lo que se le dará una salida airosa a este mediapunta de gran calidad que ya ha destacado en el Racing de Santander."
1001,Simple,"Así ocurre, por ejemplo, en la geología o la astronomía."
1002,Compleja,"4 -- Por respeto a los demás lectores, no está permitido escribir los comentarios en mayúscula cerrada."
1003,Simple,El primer título fue Strawberry Roan en 1948.
1004,Compleja,El Palacio Episcopal de Cuenca (España) se instaló en 1250 en unas casas que el Cabildo de la Catedral dio al Obispo don Mateo Reinal.
1005,Simple,La cabeza pesaba entre un 12 % y un 25 % del peso total del cuerpo.
1006,Compuesta-Compleja,"El bullicio, las compras, las comidas familiares y el ""espíritu navideño"" gustan a muchos, pero provocan rechazo a otros tantos que no soportan la Navidad y que no siempre sobreviven a ella con éxito."
1007,Compleja,"Su denominación actual de Masciago Primo fue aprobado por decreto real, pocos años después de la 'Unificación de Italia, el 8 de febrero de 1863, para diferenciarlo de otro npoblado conocido como Bovisio - Masciago."
1008,Simple,El 16 de abril de 1998 el Mercosur y la Comunidad Andina de Naciones firmaron un Acuerdo Marco para la creación de la Zona de libre comercio.
1009,Indeterminada (múltiples verbos sin subordinación/coordinación clara),La verdad es que la calidad de la enseñanza y de la maquinaria es impresionante.
1010,Compuesta-Compleja,Es decir el canal principal continúa doblando o cayendo a la izquierda ó babor.
1011,Compleja,Jacobi determinaba la potencia de los motores midiendo la cantidad de zinc consumido por la batería.
1012,Compleja,"Herman piensa que Cécile debe morir puesto que ""sabe""."
1013,Compleja,"Tres de las cuatro son perpendiculares hacia la Calle Canal, que cruza Broadway (plataformas principales de la línea Broadway), la Calle Lafayette (plataformas de la línea de la Avenida Lexington) y la Calle Centre (plataformas de la línea de la Calle Nassau)."
1014,Compleja,"Esta población presenta como sus principales atractivos turísticos el Casco Central, donde se encuentra ubicada la Casa de la Cultura Poeta ""Pedro Rafael Buznego"", donde se desarrollan diversas actividades en favor de la conservación del folklor autóctono, La Iglesia de Nuestra Señora del Buen Consejo, ubicada en la Plaza Bolívar y la Casa Parroquial en la Plaza Miranda."
1015,Compleja,Una vez llegada la procesión a la capilla se oficia una misa en honor de la Virgen.
1016,Simple,Una taza te cuesta 5 pesitos.
1017,Simple,Del total de la población el 0 % eran hispanos o latinos de cualquier raza.
1018,Compuesta-Compleja,"Al salir de la cárcel Siqueiros le propone a Don Manuel pintar un mural y el empresario decide entonces construir un inmueble especial para albergar el mural más grande del mundo, que se llamaria La Marcha de la Humanidad, construyéndose el Polyforum Cultural Siqueiros."
1019,Compleja,Es un hotel que recomendaría con los ojos cerrados: Trato familiar y amable.
1020,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Raquel Moretti y Aldo Casadidio eran compañeros de facultad y se los llevó el Ejército.
1021,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"En 2006 el club fue renombrado, nuevamente, Buxoro."
1022,Compuesta,"En 1963, SAIS creció más allá de su primera sede en Florida Avenue y se trasladó a uno de sus actuales edificios en Massachusetts Avenue, N.W. (Washington DC)."
1023,Simple,"Finalmente, en la salida del pequeño pueblo de Thirimont la punta de lanza de la Wehrmacht no pudo tomar el camino directo en dirección de Ligneuville."
1024,Compuesta-Compleja,"En sus divanes, o colecciones de poesías, aparecen casidas compuestas al hilo de los acontecimientos, pues Ibn Darrach formaba parte del ejército."
